customer_id,company_name,industry,company_size_band,country,signup_date,acquisition_channel,assigned_csm
CUST00022,"Dyer, Potter and Mack",Construction,SMB,United Kingdom,2025-07-26,Organic,
CUST00023,Rodriguez-Graham,Logistics,SMB,United States,2025-10-27,Outbound Sales,
CUST00024,Smith-Bowen,Logistics,Enterprise,Singapore,2024-05-11,Outbound Sales,Angie Henderson
CUST00025,"Baker, Mason and White",Hospitality,Mid-Market,Netherlands,2024-09-24,Organic,Gabrielle Davis
CUST00026,Harrell LLC,Construction,SMB,Singapore,2025-09-21,Organic,
CUST00027,"Romero, Gonzalez and Brooks",Healthcare,SMB,United States,2024-02-11,Paid,
CUST00028,Ryan PLC,Software,SMB,Canada,2025-06-26,Paid,
CUST00029,George Group,Healthcare,Enterprise,United States,2025-02-14,Paid,Monica Herrera
CUST00030,Rodriguez LLC,Media,SMB,Australia,2025-02-18,Organic,
CUST00031,Allen-Allen,Education,Enterprise,United States,2024-03-18,Paid,
CUST00032,"Arroyo, Miller and Tucker",Software,SMB,Germany,2025-07-30,Organic,
CUST00033,Spence PLC,Hospitality,SMB,Australia,2025-05-15,Paid,
CUST00034,Anderson Group,Financial Services,Mid-Market,United States,2024-05-11,Organic,
CUST00035,"Martin, Rose and Obrien",Logistics,Mid-Market,United States,2025-02-24,Organic,
CUST00036,Hickman Ltd,Hospitality,SMB,Germany,2024-11-22,Outbound Sales,
CUST00037,"Harris, Collins and Carney",Retail,SMB,United States,2025-10-24,Outbound Sales,
CUST00038,"Brooks, Lam and Hayes",Hospitality,Mid-Market,Singapore,2025-03-26,Paid,Ryan Munoz
CUST00039,Walker LLC,Healthcare,SMB,Netherlands,2025-10-12,Referral,
CUST00040,Chapman and Sons,Hospitality,SMB,India,2025-10-10,Outbound Sales,
CUST00041,"Robinson, Jones and Welch",Logistics,Mid-Market,United States,2024-04-10,Outbound Sales,
CUST00042,Jones Inc,Education,SMB,United States,2025-06-02,Organic,
CUST00043,Jones-Young,Construction,SMB,Germany,2025-05-26,Organic,
CUST00044,"Washington, Ryan and Cummings",Logistics,SMB,United States,2025-07-21,Referral,
CUST00045,"Johnston, Sanchez and Kennedy",Unknown,Mid-Market,Canada,2023-12-29,Paid,Angie Henderson
CUST00046,Lee-Davis,Hospitality,SMB,Ireland,2024-11-27,Outbound Sales,
CUST00047,Gomez-Jenkins,Construction,Mid-Market,Canada,2025-04-09,Paid,Abigail Shaffer
CUST00048,"Brown, Valdez and Lucas",Manufacturing,Mid-Market,United States,2023-07-16,Referral,Jamie Arnold
CUST00049,Powell LLC,Financial Services,Enterprise,France,2025-10-19,Paid,Gina Moore
CUST00050,Wright and Sons,Manufacturing,Enterprise,United Kingdom,2025-11-14,Outbound Sales,
CUST00051,"West, Henderson and Ramirez",Construction,SMB,United Kingdom,2025-09-16,Paid,
CUST00052,Baxter Inc,Software,Mid-Market,France,2025-06-22,Referral,Noah Rhodes
CUST00053,Morton-Chase,Unknown,Mid-Market,Ireland,2024-03-11,Paid,
CUST00054,Williams PLC,Retail,Mid-Market,Germany,2025-06-26,Paid,Gabrielle Davis
CUST00055,Novak and Sons,Manufacturing,Mid-Market,Singapore,2025-09-25,Outbound Sales,
CUST00056,Russell Group,Construction,SMB,India,2025-05-25,Referral,
CUST00057,Hancock Inc,Logistics,Enterprise,United States,2024-11-13,Organic,Abigail Shaffer
CUST00058,Gray Group,Media,SMB,United Kingdom,2025-03-17,Organic,
CUST00059,House-Glover,Software,SMB,United States,2025-09-01,Paid,
CUST00060,Henderson-Bernard,Retail,SMB,India,2024-06-14,Referral,
CUST00061,"Stanley, Tucker and Lee",Retail,SMB,Canada,2025-03-16,Referral,
CUST00062,Novak PLC,Logistics,Enterprise,Canada,2024-09-29,Outbound Sales,Angie Henderson
CUST00063,"Daniels, Adkins and Brown",Manufacturing,SMB,United States,2023-07-20,Outbound Sales,
CUST00064,"Woods, Calhoun and Schmidt",Unknown,Mid-Market,United Kingdom,2024-04-25,Organic,Noah Rhodes
CUST00065,Yu Inc,Software,SMB,Germany,2025-05-31,Organic,
CUST00066,Jones Inc,Manufacturing,Mid-Market,Canada,2025-05-01,Paid,Angie Henderson
CUST00067,"Hensley, Powell and David",Media,SMB,India,2023-06-04,Organic,
CUST00068,"Sanchez, Wheeler and Harvey",Software,SMB,Singapore,2025-06-26,Paid,
CUST00069,Sandoval-Cunningham,Logistics,SMB,Canada,2024-04-24,Paid,
CUST00070,Donovan-Harris,Hospitality,Mid-Market,Australia,2023-09-18,Paid,
CUST00071,"Edwards, Baker and Anderson",Manufacturing,SMB,Singapore,2025-05-30,Organic,
CUST00072,"Evans, Stewart and Walton",Construction,Mid-Market,United States,2025-04-15,Outbound Sales,
CUST00073,Smith PLC,Financial Services,SMB,Germany,2025-01-16,Paid,
CUST00074,"Ferrell, Jones and Lewis",Hospitality,SMB,Ireland,2025-10-14,Organic,
CUST00075,Anderson-Bailey,Software,SMB,United States,2023-12-31,Referral,
CUST00076,Suarez LLC,Healthcare,SMB,Singapore,2023-07-12,Outbound Sales,
CUST00077,Moore-Bass,Manufacturing,SMB,Germany,2025-05-12,Outbound Sales,
CUST00078,"Turner, Riggs and Roman",Construction,Mid-Market,United States,2024-04-30,Outbound Sales,
CUST00079,"Smith, Montoya and Evans",Construction,Enterprise,United Kingdom,2024-11-10,Outbound Sales,Noah Rhodes
CUST00080,"Garcia, Humphrey and Baker",Hospitality,Enterprise,Singapore,2024-12-25,Outbound Sales,Connie Lawrence
CUST00081,Newton and Sons,Financial Services,SMB,Netherlands,2025-02-19,Outbound Sales,
CUST00082,Campbell-Clark,Education,Enterprise,United Kingdom,2023-05-17,Outbound Sales,Gina Moore
CUST00083,Harris-Walters,Retail,SMB,France,2025-11-06,Referral,
CUST00084,Wagner-King,Retail,SMB,United States,2024-10-04,Referral,
CUST00085,Davis Group,Education,Mid-Market,India,2023-12-25,Paid,Angie Henderson
CUST00086,Williams-Cook,Manufacturing,SMB,United Kingdom,2025-10-05,Paid,
CUST00087,Walsh LLC,Hospitality,SMB,India,2025-05-05,Organic,
CUST00088,Figueroa PLC,Hospitality,Mid-Market,United States,2025-09-01,Referral,Allison Hill
CUST00089,"Patterson, Smith and Jones",Retail,SMB,Ireland,2024-11-12,Paid,
CUST00090,"Mckee, Gardner and Davenport",Retail,Enterprise,Ireland,2025-07-25,Paid,Noah Rhodes
CUST00091,"Tran, Jordan and Williams",Education,Mid-Market,Canada,2024-12-22,Outbound Sales,Ryan Munoz
CUST00092,Nolan-Flynn,Education,SMB,United States,2025-01-24,Organic,
CUST00093,Nolan and Sons,Software,SMB,Germany,2025-07-21,Referral,
CUST00094,"Wright, Garcia and Deleon",Education,SMB,United States,2025-09-25,Organic,
CUST00095,Dickson-Brady,Healthcare,SMB,Ireland,2023-09-13,Outbound Sales,
CUST00096,Hancock and Sons,Logistics,Enterprise,United States,2025-03-25,Outbound Sales,Gabrielle Davis
CUST00097,Johnson-Doyle,Retail,Mid-Market,Germany,2025-01-14,Referral,
CUST00098,Patton-Jenkins,Healthcare,Enterprise,United States,2024-08-21,Outbound Sales,
CUST00099,"Shields, Cochran and Adams",Construction,SMB,Australia,2024-08-17,Organic,
CUST00100,"Rodriguez, Brennan and Garrison",Software,SMB,Australia,2023-11-30,Outbound Sales,
CUST00101,Gonzalez Group,Software,Mid-Market,Canada,2024-09-16,Outbound Sales,
CUST00102,Torres-Pope,Manufacturing,SMB,France,2025-09-01,Outbound Sales,
CUST00103,Walker Ltd,Hospitality,Mid-Market,United Kingdom,2025-10-28,Outbound Sales,Abigail Shaffer
CUST00104,Ross LLC,Manufacturing,SMB,United Kingdom,2025-08-26,Outbound Sales,
CUST00105,Rasmussen LLC,Healthcare,Mid-Market,United Kingdom,2025-11-16,Outbound Sales,
CUST00106,May-Ross,Financial Services,SMB,United Kingdom,2024-08-13,Organic,
CUST00107,"Rivera, Johnson and Wiley",Manufacturing,Mid-Market,Ireland,2025-11-29,Referral,
CUST00108,White-Estes,Retail,Enterprise,Singapore,2024-07-18,Paid,Abigail Shaffer
CUST00109,Johnson-Carlson,Manufacturing,Enterprise,Australia,2024-06-28,Referral,Daniel Wagner
CUST00110,Chandler-Edwards,Education,SMB,United States,2025-06-07,Paid,
CUST00111,"Joyce, Wilson and Lam",Manufacturing,SMB,Singapore,2025-03-23,Referral,
CUST00112,Scott Ltd,Retail,SMB,United States,2023-08-01,Outbound Sales,
CUST00113,Smith-Frost,Hospitality,Mid-Market,United States,2024-03-06,Organic,Abigail Shaffer
CUST00114,"Mcdaniel, Bentley and Mclaughlin",Financial Services,Mid-Market,United Kingdom,2025-01-01,Outbound Sales,Allison Hill
CUST00115,Diaz Inc,Healthcare,SMB,India,2024-11-30,Referral,
CUST00116,"Mccall, Hanson and Alvarado",Software,Enterprise,United States,2025-10-25,Paid,Noah Rhodes
CUST00117,Cortez LLC,Financial Services,SMB,Ireland,2025-02-10,Paid,
CUST00118,"Parker, Ortiz and Powell",Retail,SMB,United States,2024-02-24,Organic,
CUST00119,Spencer-Lee,Education,SMB,Germany,2024-05-05,Paid,
CUST00120,"Bentley, Byrd and Orr",Hospitality,SMB,Germany,2024-04-23,Organic,
CUST00121,"Carroll, Sullivan and Bass",Manufacturing,SMB,United States,2024-04-29,Organic,
CUST00122,Mitchell-Jordan,Financial Services,SMB,United States,2024-11-03,Paid,
CUST00123,"Lawson, Morris and Ramos",Retail,SMB,India,2025-05-11,Organic,
CUST00124,"Lewis, Kennedy and Santana",Education,Enterprise,United States,2024-08-17,Outbound Sales,Monica Herrera
CUST00125,"Jackson, Miller and Robertson",Education,SMB,United States,2024-11-09,Paid,
CUST00126,"Harvey, Davis and Crane",Media,SMB,United Kingdom,2025-07-22,Organic,
CUST00127,Chambers and Sons,Construction,Mid-Market,Netherlands,2025-02-24,Paid,Ryan Munoz
CUST00128,Hernandez Inc,Software,SMB,Canada,2024-07-13,Organic,
CUST00129,Riggs PLC,Construction,SMB,United States,2024-06-09,Paid,
CUST00130,Gibson Ltd,Logistics,Enterprise,Australia,2025-06-12,Outbound Sales,Gina Moore
CUST00131,"Lee, Horton and Snyder",Healthcare,SMB,Canada,2025-04-15,Referral,
CUST00132,Hernandez Ltd,Construction,SMB,United States,2024-11-02,Referral,
CUST00133,Stafford Inc,Manufacturing,SMB,Ireland,2025-04-28,Organic,
CUST00134,Robinson-Brock,Manufacturing,SMB,United States,2024-04-08,Organic,
CUST00135,"Holmes, Williams and Wright",Logistics,SMB,Netherlands,2023-12-05,Paid,
CUST00136,Bryant Group,Logistics,Enterprise,United States,2024-12-01,Outbound Sales,
CUST00137,"Schmidt, Hansen and Stewart",Manufacturing,Mid-Market,United States,2024-04-22,Referral,
CUST00138,Salazar-Ball,Media,Mid-Market,Australia,2024-08-20,Outbound Sales,Daniel Wagner
CUST00139,"Simmons, Meadows and Griffin",Retail,SMB,United Kingdom,2025-02-21,Organic,
CUST00140,Manning Group,Hospitality,Mid-Market,United States,2025-04-12,Organic,
CUST00141,Green-Wright,Retail,SMB,United States,2024-10-11,Organic,
CUST00142,"Ramirez, Strickland and Washington",Hospitality,Enterprise,United States,2025-08-25,Organic,Gabrielle Davis
CUST00143,Hill Inc,Logistics,Mid-Market,Australia,2025-01-26,Paid,Ryan Munoz
CUST00144,"Mitchell, Nelson and Flores",Media,Enterprise,Singapore,2025-11-13,Organic,Gabrielle Davis
CUST00145,"Miller, Hernandez and Reyes",Unknown,Enterprise,United States,2023-11-07,Referral,Gina Moore
CUST00146,Mccarthy Inc,Education,Mid-Market,United States,2025-08-17,Organic,Gabrielle Davis
CUST00147,Russell-Daniels,Logistics,SMB,Singapore,2025-06-03,Paid,
CUST00148,Brown-Wall,Education,Enterprise,United Kingdom,2025-08-29,Paid,Connie Lawrence
CUST00149,Stein-Silva,Healthcare,SMB,United States,2025-07-22,Paid,
CUST00150,"Smith, Gilmore and Johnston",Healthcare,Enterprise,United Kingdom,2025-03-18,Outbound Sales,Jamie Arnold
CUST00151,Smith-Bell,Financial Services,SMB,France,2025-05-11,Paid,
CUST00152,Castaneda-Ashley,Manufacturing,Mid-Market,Australia,2025-03-11,Outbound Sales,
CUST00153,Medina-Navarro,Construction,SMB,United States,2024-07-19,Referral,
CUST00154,"Hurst, Freeman and Nelson",Construction,Mid-Market,India,2025-09-30,Paid,
CUST00155,Johnson-Rogers,Media,SMB,Singapore,2024-02-22,Paid,
CUST00156,"Yates, Ramsey and Pittman",Media,SMB,United States,2025-07-07,Referral,
CUST00157,Hooper PLC,Construction,Mid-Market,Canada,2024-07-22,Paid,Daniel Wagner
CUST00158,Meadows PLC,Logistics,Enterprise,Australia,2024-12-03,Paid,
CUST00159,"Alvarado, Miller and Patterson",Media,SMB,Australia,2025-02-20,Referral,Jamie Arnold
CUST00160,White-Green,Healthcare,Enterprise,France,2025-04-01,Referral,
CUST00161,Lewis-Murphy,Media,Mid-Market,United States,2025-04-08,Referral,Ryan Munoz
CUST00162,Ramirez-Bean,Healthcare,Mid-Market,France,2025-10-25,Paid,Gina Moore
CUST00163,King-Miller,Financial Services,Enterprise,Singapore,2024-02-18,Outbound Sales,
CUST00164,Curry Inc,Media,SMB,Australia,2024-12-02,Organic,
CUST00165,Walker-Jones,Media,Mid-Market,United States,2024-10-08,Paid,
CUST00166,"Williams, Johnson and Wright",Software,Enterprise,United States,2024-10-20,Referral,Jamie Arnold
CUST00167,Howell and Sons,Financial Services,SMB,United Kingdom,2024-03-12,Organic,
CUST00168,Wells Inc,Software,SMB,France,2024-11-02,Referral,
CUST00169,"Gould, Marshall and Scott",Manufacturing,SMB,Germany,2024-05-01,Outbound Sales,
CUST00170,Jackson-Lawson,Manufacturing,SMB,United States,2025-11-29,Paid,
CUST00171,"Higgins, Strickland and Martin",Construction,SMB,India,2024-06-07,Outbound Sales,
CUST00172,Rodriguez-Johnson,Education,SMB,United States,2025-01-27,Referral,
CUST00173,Johnston-Odonnell,Construction,Mid-Market,United Kingdom,2025-03-05,Paid,Jamie Arnold
CUST00174,Sanders-Espinoza,Healthcare,Mid-Market,United States,2024-05-05,Outbound Sales,
CUST00175,Vargas Ltd,Unknown,SMB,United States,2025-05-21,Paid,Cristian Santos
CUST00176,Garcia LLC,Media,SMB,Germany,2025-05-31,Organic,
CUST00177,"Burke, Martinez and Riggs",Retail,SMB,Germany,2023-06-28,Organic,
CUST00178,Reed Group,Manufacturing,SMB,Germany,2024-07-08,Organic,
CUST00179,"Wood, Hunter and Peterson",Construction,Mid-Market,Singapore,2025-09-05,Paid,
CUST00180,Short-Garcia,Construction,SMB,United States,2025-10-10,Organic,
CUST00181,Reid-Poole,Media,SMB,United States,2024-05-05,Referral,
CUST00182,"Hernandez, Thompson and Boyd",Financial Services,Enterprise,Singapore,2024-10-15,Organic,Allison Hill
CUST00183,"Nelson, Morton and Medina",Retail,Mid-Market,United States,2025-05-09,Paid,
CUST00184,Marshall-Petersen,Logistics,SMB,United States,2025-11-05,Outbound Sales,
CUST00185,"Adams, Christian and Rivas",Unknown,Enterprise,Canada,2025-10-09,Outbound Sales,Monica Herrera
CUST00186,Ramirez Group,Hospitality,SMB,United States,2025-03-16,Referral,
CUST00187,Christensen PLC,Construction,SMB,Singapore,2025-11-23,Paid,
CUST00188,"Barnett, Rogers and Snyder",Retail,SMB,United States,2025-10-19,Organic,
CUST00189,White-Lewis,Logistics,SMB,Canada,2025-05-26,Outbound Sales,
CUST00190,Peterson-Beard,Financial Services,SMB,United States,2025-10-12,Outbound Sales,
CUST00191,"Beard, Peters and Black",Manufacturing,Mid-Market,Germany,2024-04-27,Outbound Sales,Connie Lawrence
CUST00192,Miller Ltd,Construction,SMB,Canada,2023-09-23,Organic,
CUST00193,Freeman-Chang,Unknown,SMB,Australia,2024-07-16,Paid,
CUST00194,"Alvarez, Joseph and West",Manufacturing,SMB,Germany,2024-09-05,Referral,
CUST00195,Davis and Sons,Unknown,Mid-Market,France,2025-07-13,Organic,Jamie Arnold
CUST00196,Holt-Torres,Logistics,SMB,Australia,2023-10-04,Paid,
CUST00197,"Wood, Tran and Cooper",Unknown,SMB,India,2024-01-20,Organic,
CUST00198,"Pierce, Bell and Chavez",Construction,SMB,Germany,2024-12-30,Organic,
CUST00199,King-Martinez,Financial Services,Mid-Market,Germany,2024-08-12,Referral,Abigail Shaffer
CUST00200,Stewart Ltd,Financial Services,SMB,France,2024-03-07,Outbound Sales,
CUST00201,"Tapia, Vaughn and Lee",Education,SMB,Canada,2025-09-28,Referral,
CUST00202,"Washington, Hardy and Bray",Financial Services,Mid-Market,Germany,2025-09-15,Organic,
CUST00203,"Carlson, Hooper and Wall",Healthcare,SMB,Ireland,2025-11-03,Organic,
CUST00204,Perez-White,Education,Enterprise,United States,2025-04-03,Outbound Sales,Jamie Arnold
CUST00205,Erickson and Sons,Construction,Mid-Market,United States,2025-10-24,Outbound Sales,
CUST00206,Williams-Brown,Manufacturing,SMB,Netherlands,2025-09-13,Paid,
CUST00207,Terry-Martinez,Education,SMB,Australia,2024-06-30,Organic,
CUST00208,Garcia-Smith,Software,Mid-Market,United States,2025-07-09,Organic,Gabrielle Davis
CUST00209,Harrison-Alexander,Logistics,SMB,India,2024-09-25,Referral,
CUST00210,Sheppard LLC,Logistics,Mid-Market,United States,2023-07-16,Outbound Sales,Gina Moore
CUST00211,Wilson-Jones,Education,Enterprise,Canada,2025-10-31,Outbound Sales,
CUST00212,Jones-Soto,Retail,SMB,India,2024-12-04,Paid,
CUST00213,Hernandez PLC,Software,Enterprise,Ireland,2025-08-02,Paid,Angie Henderson
CUST00214,Miller-Wright,Education,Mid-Market,United States,2024-01-27,Paid,Noah Rhodes
CUST00215,"Duran, Obrien and Gibbs",Media,SMB,United States,2023-09-10,Organic,
CUST00216,Rowe Group,Manufacturing,SMB,United Kingdom,2025-06-12,Organic,
CUST00217,Kerr-Evans,Logistics,Mid-Market,United States,2024-12-17,Outbound Sales,
CUST00218,"Branch, Torres and Oliver",Media,SMB,Australia,2024-04-17,Outbound Sales,
CUST00219,"Choi, Garcia and Farmer",Construction,Enterprise,Germany,2025-04-29,Paid,Jamie Arnold
CUST00220,"Clark, Guerrero and Moore",Manufacturing,SMB,United States,2024-05-11,Outbound Sales,
CUST00221,Arnold and Sons,Manufacturing,SMB,Ireland,2025-10-03,Outbound Sales,
CUST00222,Ortiz Ltd,Software,SMB,United Kingdom,2025-07-28,Referral,
CUST00223,"Harrison, Johnson and Roberts",Logistics,Mid-Market,United States,2024-06-23,Paid,
CUST00224,Warner-Gibson,Education,Mid-Market,United States,2025-09-30,Organic,Jamie Arnold
CUST00225,"Hall, Baker and Moody",Manufacturing,Enterprise,France,2025-09-22,Outbound Sales,Cristian Santos
CUST00226,"Guerrero, Peck and Coleman",Manufacturing,Mid-Market,United States,2024-12-09,Paid,Abigail Shaffer
CUST00227,"Walker, Hernandez and Baker",Healthcare,Mid-Market,Canada,2023-12-06,Organic,
CUST00228,Jones and Sons,Retail,SMB,Singapore,2025-02-12,Paid,
CUST00229,Larson-Holloway,Construction,Mid-Market,United States,2025-06-11,Referral,Jamie Arnold
CUST00230,Gonzales-Harrison,Logistics,Enterprise,India,2025-05-30,Outbound Sales,
CUST00231,Lyons-Bender,Media,Mid-Market,Singapore,2025-06-23,Referral,
CUST00232,"Fernandez, Kim and George",Logistics,Mid-Market,United States,2025-10-02,Outbound Sales,Gina Moore
CUST00233,Navarro-Munoz,Financial Services,Mid-Market,United States,2024-10-09,Referral,Ryan Munoz
CUST00234,Davis Ltd,Construction,Mid-Market,Singapore,2025-02-21,Organic,Ryan Munoz
CUST00235,"Matthews, Smith and Hubbard",Education,Mid-Market,Ireland,2025-05-14,Organic,
CUST00236,Johnston-Hines,Healthcare,SMB,India,2024-01-21,Outbound Sales,
CUST00237,Ruiz Ltd,Education,Enterprise,United States,2025-05-14,Outbound Sales,Angie Henderson
CUST00238,Moon-White,Logistics,Enterprise,Germany,2023-11-10,Paid,Noah Rhodes
CUST00239,"Graham, Olsen and Costa",Financial Services,SMB,Australia,2024-10-19,Referral,
CUST00240,Bailey-Cook,Financial Services,Enterprise,Ireland,2025-11-15,Referral,Abigail Shaffer
CUST00241,"Garcia, Martin and Jenkins",Media,Mid-Market,United States,2023-07-08,Paid,
CUST00242,Roberts-Landry,Logistics,Mid-Market,Germany,2025-01-07,Organic,
CUST00243,"Johnson, Miller and King",Retail,SMB,United Kingdom,2024-04-12,Outbound Sales,
CUST00244,Cordova Group,Hospitality,SMB,United States,2025-06-13,Referral,
CUST00245,"Bryan, Smith and Booth",Logistics,Enterprise,United States,2024-12-28,Outbound Sales,Abigail Shaffer
CUST00246,Gutierrez-Lopez,Construction,Mid-Market,United Kingdom,2024-08-14,Outbound Sales,Gina Moore
CUST00247,Dean-Jimenez,Manufacturing,Enterprise,United States,2024-06-11,Organic,Cristian Santos
CUST00248,Wolf-Harris,Logistics,SMB,Netherlands,2025-01-27,Outbound Sales,
CUST00249,"Anderson, Roberts and Gilmore",Software,Enterprise,India,2025-08-04,Outbound Sales,Monica Herrera
CUST00250,Martinez-Dudley,Healthcare,Mid-Market,United States,2023-08-13,Outbound Sales,
CUST00251,"Lloyd, Mckinney and Collins",Manufacturing,Mid-Market,Canada,2024-02-07,Organic,
CUST00252,Tran Inc,Logistics,SMB,United States,2025-02-10,Organic,
CUST00253,Gay Inc,Healthcare,SMB,India,2024-09-17,Paid,Gina Moore
CUST00254,Valentine-Holland,Education,SMB,United Kingdom,2025-02-01,Referral,
CUST00255,Jimenez Ltd,Logistics,Mid-Market,Netherlands,2025-08-09,Organic,
CUST00256,Hicks-Hill,Media,SMB,United States,2025-11-24,Organic,
CUST00257,Baird-Sanchez,Healthcare,Mid-Market,Germany,2025-03-29,Organic,Noah Rhodes
CUST00258,"Thomas, Lee and Greene",Media,SMB,United States,2024-10-23,Organic,
CUST00259,"Suarez, Shields and Hill",Education,SMB,United States,2025-04-03,Referral,
CUST00260,Morgan-French,Education,SMB,United States,2024-01-17,Referral,
CUST00261,Hoover-Campbell,Logistics,SMB,France,2023-10-05,Paid,
CUST00262,Monroe-Carpenter,Logistics,Enterprise,Germany,2025-08-21,Paid,
CUST00263,"Burns, Hernandez and Ryan",Hospitality,SMB,Netherlands,2025-03-20,Outbound Sales,
CUST00264,Cook-Hines,Manufacturing,Mid-Market,Canada,2025-07-12,Organic,Jamie Arnold
CUST00265,Gibson-Morris,Media,SMB,United States,2025-09-27,Organic,
CUST00266,Pollard and Sons,Media,SMB,United States,2025-08-14,Referral,
CUST00267,"Reyes, Chase and Jenkins",Healthcare,Mid-Market,Germany,2024-06-28,Outbound Sales,
CUST00268,Garner-Thornton,Construction,Mid-Market,United States,2025-06-12,Organic,Connie Lawrence
CUST00269,Hughes-Alvarado,Logistics,SMB,United Kingdom,2025-09-25,Referral,
CUST00270,"Pollard, Simpson and Johnson",Software,SMB,United States,2024-11-09,Outbound Sales,
CUST00271,"Sanford, Rivera and Garcia",Healthcare,Enterprise,Australia,2025-01-02,Referral,Noah Rhodes
CUST00272,Garcia-Lozano,Financial Services,Enterprise,Netherlands,2024-12-20,Organic,Ryan Munoz
CUST00273,Bowen Group,Financial Services,Enterprise,United States,2025-05-08,Referral,Monica Herrera
CUST00274,"Booker, Jones and Harrington",Financial Services,SMB,Germany,2025-10-16,Organic,
CUST00275,Morgan-Schwartz,Logistics,Enterprise,United States,2025-09-18,Paid,Gabrielle Davis
CUST00276,"Miller, Murphy and Craig",Education,Enterprise,United Kingdom,2025-02-26,Paid,Daniel Wagner
CUST00277,"James, Stewart and Higgins",Retail,SMB,United Kingdom,2025-11-16,Organic,
CUST00278,Brennan-Johnson,Retail,SMB,India,2024-02-27,Outbound Sales,
CUST00279,Young Ltd,Software,SMB,United States,2024-04-20,Paid,
CUST00280,Bright-Francis,Education,Mid-Market,United Kingdom,2024-07-19,Referral,
CUST00281,Good-Hodges,Manufacturing,SMB,United States,2023-08-26,Referral,
CUST00282,"Brennan, Wallace and Benson",Healthcare,SMB,Singapore,2025-08-23,Referral,
CUST00283,Williams Inc,Media,SMB,United States,2024-08-10,Organic,
CUST00284,Howard-Jordan,Construction,Enterprise,United States,2024-02-14,Paid,
CUST00285,Schmidt PLC,Education,SMB,Canada,2023-09-08,Organic,
CUST00286,"Sparks, Jackson and Miller",Logistics,Enterprise,United States,2025-11-07,Referral,
CUST00287,Harvey-Allen,Healthcare,SMB,Canada,2025-02-08,Referral,
CUST00288,"Thomas, Murray and King",Construction,SMB,United States,2025-06-27,Organic,
CUST00289,Estrada-Nolan,Education,Enterprise,United States,2025-06-08,Paid,
CUST00290,Santana-Byrd,Unknown,SMB,Germany,2025-09-09,Outbound Sales,
CUST00291,Jones LLC,Media,SMB,Australia,2025-09-26,Referral,
CUST00292,"Evans, Hayden and Vaughn",Education,Enterprise,Germany,2025-06-10,Organic,Allison Hill
CUST00293,Bruce-Gonzalez,Education,SMB,Germany,2024-01-20,Referral,
CUST00294,Castaneda-Rodriguez,Software,SMB,Ireland,2024-12-08,Outbound Sales,
CUST00295,Armstrong-Andrews,Education,Mid-Market,India,2025-10-01,Paid,Daniel Wagner
CUST00296,"Phillips, Spence and Barrett",Manufacturing,Mid-Market,Singapore,2025-07-30,Outbound Sales,Ryan Munoz
CUST00297,Smith-Grimes,Healthcare,Mid-Market,United States,2025-03-18,Organic,Monica Herrera
CUST00298,"Beltran, Lozano and Mcgee",Software,SMB,United Kingdom,2025-06-21,Paid,
CUST00299,Parsons-Hall,Unknown,SMB,United Kingdom,2024-06-27,Organic,
CUST00300,Robinson-Lee,Education,Mid-Market,Australia,2025-01-20,Paid,
CUST00301,Byrd-Le,Manufacturing,SMB,Canada,2023-07-21,Paid,
