ticket_id,customer_id,created_date,priority,category,resolution_hours,csat_score
TKT0000140,CUST00015,2023-04-26,Low,Feature Request,10.0,4
TKT0000141,CUST00015,2023-09-10,High,Billing,6.0,2
TKT0000142,CUST00015,2023-09-07,Urgent,Billing,38.0,2
TKT0000143,CUST02598,2023-05-31,Urgent,Performance Issue,21.0,4
TKT0000144,CUST02598,2023-11-10,Low,Billing,42.0,4
TKT0000145,CUST02598,2024-10-17,Low,Bug Report,2.0,1
TKT0000146,CUST02598,2024-12-24,Low,Feature Request,27.0,4
TKT0000147,CUST02598,2025-02-18,Low,Feature Request,10.0,2
TKT0000148,CUST01190,2024-07-08,Low,Billing,50.0,4
TKT0000149,CUST01190,2023-12-24,Low,Billing,1.0,4
TKT0000150,CUST01190,2024-10-22,Medium,General Question,10.0,4
TKT0000151,CUST01190,2023-10-10,Low,Onboarding Help,35.0,4
TKT0000152,CUST01190,2024-04-01,Low,Account Access,12.0,5
TKT0000153,CUST01190,2024-12-13,Low,Account Access,14.0,4
TKT0000154,CUST01190,2025-11-27,High,Performance Issue,28.0,4
TKT0000155,CUST01190,2023-07-27,Low,Feature Request,25.0,4
TKT0000156,CUST01190,2025-02-10,Medium,Account Access,14.0,5
TKT0000157,CUST01173,2023-06-18,Low,Account Access,23.0,4
TKT0000158,CUST01173,2023-08-11,Urgent,Billing,30.0,3
TKT0000159,CUST01173,2023-09-20,Medium,Account Access,64.0,4
TKT0000160,CUST01173,2023-08-03,High,Performance Issue,18.0,5
TKT0000161,CUST01173,2023-07-26,Low,Onboarding Help,3.0,1
TKT0000162,CUST01173,2024-01-02,High,Bug Report,28.0,1
TKT0000163,CUST01173,2024-02-18,High,Performance Issue,7.0,2
TKT0000164,CUST01172,2025-02-01,Medium,Bug Report,10.0,4
TKT0000165,CUST01172,2025-11-07,Urgent,Account Access,10.0,4
TKT0000166,CUST01172,2025-12-22,Low,Onboarding Help,27.0,4
TKT0000167,CUST01172,2025-09-18,Medium,Billing,51.0,4
TKT0000168,CUST01172,2023-06-12,Medium,Onboarding Help,1.0,4
TKT0000169,CUST01172,2025-06-03,High,Account Access,2.0,5
TKT0000170,CUST01172,2023-08-09,Medium,Bug Report,3.0,5
TKT0000171,CUST01172,2025-01-19,High,Onboarding Help,31.0,4
TKT0000172,CUST01172,2024-11-13,High,Account Access,7.0,4
TKT0000173,CUST02846,2024-01-12,Low,General Question,47.0,3
TKT0000174,CUST02846,2025-06-23,Medium,Feature Request,26.0,2
TKT0000175,CUST02846,2025-02-16,Low,Onboarding Help,25.0,4
TKT0000176,CUST02846,2023-12-30,High,General Question,8.0,5
TKT0000177,CUST02846,2024-07-12,Medium,Billing,12.0,5
TKT0000178,CUST00622,2023-08-22,Low,General Question,32.0,4
TKT0000179,CUST00622,2025-11-14,Low,General Question,6.0,4
TKT0000180,CUST00622,2023-09-16,Low,Feature Request,11.0,3
TKT0000181,CUST00622,2024-02-26,High,Account Access,10.0,3
TKT0000182,CUST00622,2024-01-27,High,Billing,10.0,4
TKT0000183,CUST00622,2025-12-10,Low,Account Access,10.0,4
TKT0000184,CUST00622,2025-10-15,Medium,Billing,29.0,5
TKT0000185,CUST00622,2024-05-24,Low,Bug Report,2.0,5
TKT0000186,CUST01573,2025-01-02,Low,Bug Report,24.0,4
TKT0000187,CUST01573,2025-02-06,Urgent,Feature Request,5.0,4
TKT0000188,CUST01573,2024-04-11,Medium,Bug Report,26.0,2
TKT0000189,CUST01573,2024-07-02,High,Performance Issue,68.0,4
TKT0000190,CUST01573,2023-12-05,Low,Performance Issue,3.0,2
TKT0000191,CUST01573,2025-05-18,Medium,Onboarding Help,4.0,2
TKT0000192,CUST01573,2023-10-01,Medium,Performance Issue,4.0,2
TKT0000193,CUST00539,2024-11-06,Medium,Feature Request,2.0,4
TKT0000194,CUST00539,2024-10-13,Low,Onboarding Help,2.0,4
TKT0000195,CUST00539,2025-02-13,High,Performance Issue,100.0,5
TKT0000196,CUST00539,2024-12-31,High,Billing,1.0,5
TKT0000197,CUST00539,2024-07-16,High,Onboarding Help,3.0,5
TKT0000198,CUST00539,2025-07-10,Low,Account Access,7.0,3
TKT0000199,CUST00539,2025-04-30,Medium,Account Access,26.0,4
TKT0000200,CUST00539,2023-11-25,Medium,Bug Report,30.0,3
TKT0000201,CUST00539,2025-05-15,Urgent,Billing,15.0,5
TKT0000202,CUST00539,2023-12-31,High,General Question,3.0,5
TKT0000203,CUST00539,2024-02-20,Low,Bug Report,3.0,1
TKT0000204,CUST00539,2024-09-01,Medium,Billing,3.0,5
TKT0000205,CUST00539,2025-09-04,Medium,Feature Request,4.0,5
TKT0000206,CUST00539,2024-02-05,Low,Billing,30.0,4
TKT0000207,CUST00539,2024-09-10,Medium,General Question,10.0,3
TKT0000208,CUST00539,2024-05-03,Low,Billing,6.0,4
TKT0000209,CUST00938,2024-09-30,Medium,Feature Request,26.0,4
TKT0000210,CUST00938,2025-09-30,Low,Onboarding Help,22.0,5
TKT0000211,CUST00938,2023-10-06,Medium,General Question,24.0,4
TKT0000212,CUST00938,2025-05-24,Medium,General Question,15.0,4
TKT0000213,CUST00938,2025-04-17,Low,General Question,37.0,3
TKT0000214,CUST01651,2024-06-10,Low,Feature Request,4.0,5
TKT0000215,CUST01651,2024-05-12,High,Account Access,10.0,4
TKT0000216,CUST01651,2023-08-23,Medium,General Question,3.0,4
TKT0000217,CUST01651,2025-09-10,Low,Performance Issue,86.0,5
TKT0000218,CUST01651,2024-12-11,High,Bug Report,16.0,5
TKT0000219,CUST01651,2024-11-29,Low,Onboarding Help,15.0,4
TKT0000220,CUST01651,2023-06-25,Urgent,Performance Issue,3.0,4
TKT0000221,CUST00082,2025-02-18,Medium,Feature Request,12.0,5
TKT0000222,CUST00082,2025-08-29,Urgent,Onboarding Help,10.0,5
TKT0000223,CUST00082,2023-08-31,Urgent,Onboarding Help,5.0,4
TKT0000224,CUST00082,2025-04-12,Low,Performance Issue,13.0,5
TKT0000225,CUST00757,2023-06-21,High,Performance Issue,9.0,5
TKT0000226,CUST00757,2023-10-21,Urgent,Bug Report,10.0,1
TKT0000227,CUST00757,2023-10-24,High,Performance Issue,81.0,1
TKT0000228,CUST00757,2023-09-18,Urgent,Performance Issue,11.0,2
TKT0000229,CUST00757,2023-11-02,Urgent,Performance Issue,15.0,2
TKT0000230,CUST00596,2023-12-11,Low,Bug Report,8.0,1
TKT0000231,CUST00596,2023-09-10,Low,Account Access,5.0,4
TKT0000232,CUST00596,2025-09-05,Low,Bug Report,8.0,4
TKT0000233,CUST00596,2025-12-14,Low,General Question,12.0,4
TKT0000234,CUST01520,2024-04-04,Low,Billing,7.0,4
TKT0000235,CUST01520,2025-04-06,Low,Account Access,8.0,5
TKT0000236,CUST01520,2023-10-17,Low,Performance Issue,1.0,4
TKT0000237,CUST01520,2025-02-22,Low,Onboarding Help,4.0,4
TKT0000238,CUST01520,2024-05-12,High,Performance Issue,18.0,2
TKT0000239,CUST01520,2024-09-02,Low,Account Access,8.0,5
TKT0000240,CUST01520,2024-04-12,Low,Billing,51.0,2
TKT0000241,CUST01520,2025-04-21,Urgent,Bug Report,22.0,4
TKT0000242,CUST01520,2024-08-17,Medium,Account Access,19.0,4
TKT0000243,CUST01520,2025-10-25,Medium,Billing,31.0,3
TKT0000244,CUST00564,2024-04-01,Low,General Question,26.0,2
TKT0000245,CUST00564,2023-07-12,Medium,Bug Report,3.0,2
TKT0000246,CUST00564,2025-10-12,Medium,Account Access,21.0,4
TKT0000247,CUST00564,2025-03-24,Urgent,General Question,24.0,3
TKT0000248,CUST00564,2023-06-20,Medium,Performance Issue,15.0,3
TKT0000249,CUST00564,2023-09-09,High,Performance Issue,34.0,4
TKT0000250,CUST01496,2025-01-28,Low,Bug Report,75.0,4
TKT0000251,CUST01496,2024-11-01,High,Billing,31.0,5
TKT0000252,CUST01496,2024-11-28,Low,General Question,2.0,5
TKT0000253,CUST01496,2025-01-27,Medium,Feature Request,9.0,4
TKT0000254,CUST01496,2024-10-24,High,Onboarding Help,58.0,4
TKT0000255,CUST01496,2025-03-11,Medium,Account Access,62.0,5
TKT0000256,CUST01496,2024-01-28,Medium,Performance Issue,1.0,1
TKT0000257,CUST01363,2024-10-13,High,Bug Report,5.0,4
TKT0000258,CUST01363,2023-11-01,Low,Billing,42.0,4
TKT0000259,CUST01363,2025-05-30,Low,Bug Report,15.0,4
TKT0000260,CUST00963,2023-06-30,Low,General Question,20.0,4
TKT0000261,CUST00963,2023-08-25,Low,Account Access,15.0,4
TKT0000262,CUST00963,2023-08-20,High,Bug Report,27.0,2
TKT0000263,CUST00963,2023-07-26,Urgent,Bug Report,10.0,3
TKT0000264,CUST00963,2023-07-22,High,Billing,27.0,1
TKT0000265,CUST02778,2025-10-30,Medium,Billing,18.0,5
TKT0000266,CUST02778,2025-02-01,Medium,Feature Request,7.0,5
TKT0000267,CUST02778,2023-09-16,Low,Onboarding Help,6.0,3
TKT0000268,CUST02778,2025-10-09,Medium,Billing,4.0,4
TKT0000269,CUST02778,2023-10-08,High,Account Access,29.0,3
TKT0000270,CUST02778,2023-08-26,High,Performance Issue,3.0,1
TKT0000271,CUST02778,2025-10-08,Medium,Billing,1.0,4
TKT0000272,CUST02897,2023-11-06,Low,Onboarding Help,1.0,5
TKT0000273,CUST02897,2023-07-25,High,Feature Request,25.0,5
TKT0000274,CUST02897,2023-10-17,High,Bug Report,23.0,3
TKT0000275,CUST02897,2023-11-26,High,Billing,49.0,1
TKT0000276,CUST00624,2024-05-04,Low,Billing,9.0,4
TKT0000277,CUST00624,2023-11-11,Medium,Bug Report,46.0,3
TKT0000278,CUST00624,2023-07-21,Low,Feature Request,5.0,2
TKT0000279,CUST00624,2023-09-13,Low,Feature Request,5.0,3
TKT0000280,CUST00624,2024-12-09,Low,Feature Request,19.0,3
TKT0000281,CUST00624,2025-02-14,Medium,General Question,12.0,4
TKT0000282,CUST00624,2023-07-20,High,Account Access,1.0,5
TKT0000283,CUST00624,2023-06-30,Urgent,Account Access,1.0,2
TKT0000284,CUST00624,2025-04-21,High,Onboarding Help,24.0,4
TKT0000285,CUST00624,2024-09-21,Medium,General Question,1.0,4
TKT0000286,CUST00067,2023-07-26,Low,Feature Request,7.0,5
TKT0000287,CUST00067,2023-06-23,Low,Performance Issue,6.0,4
TKT0000288,CUST00067,2024-08-12,High,Onboarding Help,49.0,4
TKT0000289,CUST00067,2024-06-29,High,Performance Issue,10.0,4
TKT0000290,CUST00067,2023-10-05,High,Billing,4.0,4
TKT0000291,CUST00537,2024-09-26,Medium,Feature Request,26.0,2
TKT0000292,CUST00537,2024-02-27,Medium,General Question,7.0,2
TKT0000293,CUST00537,2025-10-03,Urgent,Feature Request,1.0,3
TKT0000294,CUST00537,2024-10-23,High,Bug Report,15.0,4
TKT0000295,CUST00537,2024-01-23,Low,Account Access,23.0,5
TKT0000296,CUST00537,2024-03-02,High,Bug Report,34.0,5
TKT0000297,CUST00537,2024-09-26,Low,Onboarding Help,23.0,5
TKT0000298,CUST00537,2025-03-03,Low,Billing,1.0,3
TKT0000299,CUST01959,2024-03-02,Medium,General Question,110.0,3
TKT0000300,CUST01959,2023-10-27,Low,Account Access,51.0,4
TKT0000301,CUST01959,2023-07-30,Low,Bug Report,27.0,5
TKT0000302,CUST01959,2024-06-20,Low,Bug Report,8.0,4
TKT0000303,CUST01959,2023-11-27,Low,Performance Issue,37.0,2
TKT0000304,CUST01959,2023-11-15,Low,Bug Report,4.0,5
TKT0000305,CUST01959,2024-04-13,Low,Billing,15.0,4
TKT0000306,CUST01959,2023-12-10,Low,Onboarding Help,27.0,4
TKT0000307,CUST01959,2023-11-29,Low,Bug Report,3.0,4
TKT0000308,CUST01959,2024-02-02,Low,Bug Report,4.0,3
TKT0000309,CUST01959,2024-07-18,High,Performance Issue,78.0,2
TKT0000310,CUST01959,2024-07-06,High,Bug Report,30.0,1
TKT0000311,CUST02491,2025-01-15,Medium,Account Access,22.0,2
TKT0000312,CUST02491,2025-05-29,Low,Feature Request,15.0,3
TKT0000313,CUST02491,2024-02-11,Medium,Billing,4.0,4
TKT0000314,CUST02491,2023-10-15,Low,Feature Request,21.0,5
TKT0000315,CUST02491,2025-05-21,Low,General Question,15.0,4
TKT0000316,CUST02491,2025-05-27,Low,General Question,2.0,2
TKT0000317,CUST02491,2024-11-02,Low,General Question,13.0,5
TKT0000318,CUST02491,2023-06-14,High,Bug Report,1.0,5
TKT0000319,CUST02491,2023-07-18,Low,Billing,13.0,5
TKT0000320,CUST02491,2025-11-09,Medium,General Question,9.0,4
TKT0000321,CUST02491,2025-07-10,Low,Bug Report,41.0,4
TKT0000322,CUST02491,2025-08-28,Urgent,Billing,3.0,3
TKT0000323,CUST02491,2023-10-09,Low,Bug Report,17.0,4
TKT0000324,CUST02806,2023-10-04,Medium,General Question,7.0,5
TKT0000325,CUST02806,2025-07-18,High,Account Access,12.0,5
TKT0000326,CUST02806,2024-04-05,Low,Onboarding Help,1.0,5
TKT0000327,CUST01643,2023-08-08,Medium,Bug Report,54.0,4
TKT0000328,CUST01643,2024-10-06,Medium,Account Access,1.0,5
TKT0000329,CUST01643,2023-08-10,High,Performance Issue,5.0,5
TKT0000330,CUST01643,2025-10-28,High,Onboarding Help,20.0,3
TKT0000331,CUST02956,2025-05-07,High,Performance Issue,5.0,3
TKT0000332,CUST02956,2024-12-25,High,General Question,6.0,4
TKT0000333,CUST02956,2025-11-24,High,Billing,17.0,4
TKT0000334,CUST02956,2023-12-30,Low,Account Access,5.0,3
TKT0000335,CUST02953,2023-12-12,Low,Feature Request,1.0,4
TKT0000336,CUST02953,2024-05-17,Low,Onboarding Help,6.0,4
TKT0000337,CUST02953,2023-07-15,Medium,Account Access,8.0,3
TKT0000338,CUST02953,2023-06-18,High,Performance Issue,1.0,3
TKT0000339,CUST02953,2023-08-09,Medium,Feature Request,13.0,5
TKT0000340,CUST02953,2023-11-10,High,Account Access,52.0,2
TKT0000341,CUST02953,2024-05-14,Medium,Billing,24.0,2
TKT0000342,CUST02953,2024-05-23,Low,Bug Report,52.0,4
TKT0000343,CUST02953,2024-04-15,Medium,Account Access,33.0,5
TKT0000344,CUST02953,2023-09-19,High,Performance Issue,7.0,3
TKT0000345,CUST02953,2024-03-03,Medium,Billing,5.0,4
TKT0000346,CUST02675,2023-07-27,Low,Bug Report,16.0,5
TKT0000347,CUST02675,2023-11-25,Low,Feature Request,3.0,5
TKT0000348,CUST02675,2024-06-09,Medium,Feature Request,1.0,3
TKT0000349,CUST02675,2024-06-01,Medium,Performance Issue,24.0,3
TKT0000350,CUST02675,2024-07-20,Medium,Onboarding Help,21.0,2
TKT0000351,CUST02675,2024-01-16,Medium,Bug Report,22.0,4
TKT0000352,CUST02675,2024-07-11,High,Account Access,8.0,4
TKT0000353,CUST02675,2024-03-30,Low,Onboarding Help,50.0,3
TKT0000354,CUST02675,2024-08-05,High,Performance Issue,8.0,5
TKT0000355,CUST02675,2025-04-02,Low,Onboarding Help,6.0,5
TKT0000356,CUST02675,2023-11-20,High,General Question,2.0,3
TKT0000357,CUST01928,2025-12-16,High,Performance Issue,25.0,5
TKT0000358,CUST01928,2024-08-19,High,Billing,10.0,3
TKT0000359,CUST01928,2024-11-11,Medium,Feature Request,78.0,4
TKT0000360,CUST01928,2024-03-17,Medium,Bug Report,58.0,2
TKT0000361,CUST01928,2025-07-17,Urgent,Onboarding Help,27.0,4
TKT0000362,CUST01928,2023-11-24,Low,Account Access,7.0,4
TKT0000363,CUST01928,2024-02-26,Urgent,General Question,1.0,4
TKT0000364,CUST01928,2025-07-21,Medium,Onboarding Help,23.0,5
TKT0000365,CUST01928,2024-05-11,Low,Account Access,27.0,5
TKT0000366,CUST02589,2025-09-23,Medium,Onboarding Help,15.0,4
TKT0000367,CUST02589,2025-08-02,High,Onboarding Help,38.0,5
TKT0000368,CUST02589,2025-06-20,Low,General Question,12.0,4
TKT0000369,CUST02589,2024-08-15,High,Account Access,38.0,4
TKT0000370,CUST01948,2024-02-21,Low,Bug Report,11.0,3
TKT0000371,CUST01948,2025-10-30,Low,Billing,126.0,5
TKT0000372,CUST01948,2024-09-04,High,Feature Request,8.0,3
TKT0000373,CUST01948,2025-07-21,Low,Feature Request,1.0,5
TKT0000374,CUST01948,2025-06-08,Medium,Feature Request,20.0,3
TKT0000375,CUST02804,2023-08-22,Low,Account Access,20.0,4
TKT0000376,CUST02804,2024-01-12,Medium,Onboarding Help,7.0,1
TKT0000377,CUST02804,2023-08-20,High,Billing,17.0,3
TKT0000378,CUST02804,2024-01-29,Medium,Feature Request,1.0,4
TKT0000379,CUST02804,2024-01-19,Low,General Question,50.0,5
TKT0000380,CUST02804,2024-04-06,Urgent,Bug Report,15.0,1
TKT0000381,CUST02804,2024-04-11,Urgent,Bug Report,41.0,3
TKT0000382,CUST02804,2024-04-16,High,Performance Issue,42.0,3
TKT0000383,CUST02804,2024-05-06,High,Billing,20.0,2
TKT0000384,CUST00177,2023-08-16,Low,Account Access,4.0,4
TKT0000385,CUST00177,2025-12-21,Low,General Question,2.0,4
TKT0000386,CUST00177,2025-10-01,Low,Onboarding Help,1.0,4
TKT0000387,CUST00177,2025-01-23,Low,General Question,15.0,3
TKT0000388,CUST00177,2025-10-06,Low,Onboarding Help,5.0,3
TKT0000389,CUST00177,2025-01-06,Medium,Performance Issue,31.0,5
TKT0000390,CUST00177,2024-01-18,Low,Performance Issue,9.0,3
TKT0000391,CUST00177,2024-09-13,Medium,General Question,17.0,5
TKT0000392,CUST00177,2024-02-15,Low,Account Access,23.0,4
TKT0000393,CUST00177,2024-10-02,Low,Billing,3.0,5
TKT0000394,CUST00177,2025-10-21,Low,Billing,9.0,1
TKT0000395,CUST00177,2025-09-26,Medium,Onboarding Help,8.0,3
TKT0000396,CUST00177,2023-08-11,High,Account Access,64.0,5
TKT0000397,CUST00177,2024-09-20,Low,Onboarding Help,15.0,4
TKT0000398,CUST01189,2024-08-28,High,Bug Report,16.0,4
