subscription_id,customer_id,plan_tier,start_date,billing_cycle,mrr_amount,status,change_type
SUB000074,CUST00066,Growth,2025-05-01,Annual,179.1,Active,New
SUB000075,CUST00066,Starter,2025-08-01,Annual,44.1,Active,Downgrade
SUB000076,CUST00067,Growth,2023-06-04,Monthly,199,Active,New
SUB000077,CUST00068,Growth,2025-06-26,Annual,199,Active,New
SUB000078,CUST00069,Growth,2024-04-24,Monthly,199,Active,New
SUB000079,CUST00069,Enterprise,2025-05-24,Annual,899,Active,Upgrade
SUB000080,CUST00070,Growth,2023-09-18,Annual,199,Active,New
SUB000081,CUST00070,Enterprise,2024-05-18,Monthly,899,Active,Upgrade
SUB000082,CUST00071,Growth,2025-05-30,Monthly,189.05,Active,New
SUB000083,CUST00072,Starter,2025-04-15,Monthly,41.65,Active,New
SUB000084,CUST00073,Starter,2025-01-16,Monthly,46.55,Active,New
SUB000085,CUST00074,Growth,2025-10-14,Annual,199,Active,New
SUB000086,CUST00075,Starter,2023-12-31,Monthly,49,Active,New
SUB000087,CUST00076,Growth,2023-07-12,Monthly,199,Active,New
SUB000088,CUST00077,Starter,2025-05-12,Monthly,44.1,Active,New
SUB000089,CUST00078,Enterprise,2024-04-30,Monthly,764.15,Active,New
SUB000090,CUST00078,Growth,2025-04-30,Annual,169.15,Active,Downgrade
SUB000091,CUST00079,Enterprise,2024-11-10,Annual,719.2,Active,New
SUB000092,CUST00080,Enterprise,2024-12-25,Annual,809.1,Active,New
SUB000093,CUST00081,Starter,2025-02-19,Monthly,39.2,Active,New
SUB000094,CUST00082,Enterprise,2023-05-17,Monthly,719.2,Active,New
SUB000095,CUST00083,Starter,2025-11-06,Monthly,49,Cancelled,New
SUB000096,CUST00084,Starter,2024-10-04,Annual,41.65,Active,New
SUB000097,CUST00085,Growth,2023-12-25,Monthly,199,Active,New
SUB000098,CUST00086,Growth,2025-10-05,Annual,199,Cancelled,New
SUB000099,CUST00087,Starter,2025-05-05,Annual,46.55,Cancelled,New
SUB000100,CUST00088,Enterprise,2025-09-01,Monthly,899,Active,New
SUB000101,CUST00089,Starter,2024-11-12,Monthly,49,Active,New
SUB000102,CUST00090,Enterprise,2025-07-25,Annual,899,Active,New
SUB000103,CUST00091,Growth,2024-12-22,Annual,149.25,Active,New
SUB000104,CUST00092,Starter,2025-01-24,Annual,49,Cancelled,New
SUB000105,CUST00093,Enterprise,2025-07-21,Monthly,899,Active,New
SUB000106,CUST00094,Starter,2025-09-25,Annual,41.65,Active,New
SUB000107,CUST00095,Starter,2023-09-13,Monthly,39.2,Active,New
SUB000108,CUST00096,Growth,2025-03-25,Monthly,159.2,Active,New
SUB000109,CUST00097,Starter,2025-01-14,Monthly,41.65,Active,New
SUB000110,CUST00098,Enterprise,2024-08-21,Monthly,719.2,Cancelled,New
SUB000111,CUST00099,Growth,2024-08-17,Monthly,169.15,Cancelled,New
SUB000112,CUST00100,Starter,2023-11-30,Monthly,44.1,Active,New
SUB000113,CUST00101,Enterprise,2024-09-16,Monthly,764.15,Active,New
SUB000114,CUST00102,Starter,2025-09-01,Monthly,44.1,Cancelled,New
SUB000115,CUST00103,Starter,2025-10-28,Monthly,44.1,Active,New
SUB000116,CUST00104,Starter,2025-08-26,Annual,49,Cancelled,New
SUB000117,CUST00105,Starter,2025-11-16,Annual,41.65,Active,New
SUB000118,CUST00106,Starter,2024-08-13,Monthly,41.65,Active,New
SUB000119,CUST00107,Growth,2025-11-29,Annual,199,Active,New
SUB000120,CUST00108,Enterprise,2024-07-18,Monthly,854.05,Active,New
SUB000121,CUST00109,Enterprise,2024-06-28,Monthly,899,Active,New
SUB000122,CUST00110,Starter,2025-06-07,Annual,49,Active,New
SUB000123,CUST00110,Growth,2025-09-07,Monthly,199,Active,Upgrade
SUB000124,CUST00111,Starter,2025-03-23,Monthly,49,Active,New
SUB000125,CUST00112,Starter,2023-08-01,Annual,49,Active,New
SUB000126,CUST00113,Starter,2024-03-06,Monthly,41.65,Active,New
SUB000127,CUST00114,Growth,2025-01-01,Annual,159.2,Active,New
SUB000128,CUST00115,Starter,2024-11-30,Monthly,49,Active,New
SUB000129,CUST00116,Enterprise,2025-10-25,Monthly,899,Active,New
SUB000130,CUST00117,Starter,2025-02-10,Monthly,49,Active,New
SUB000131,CUST00118,Starter,2024-02-24,Monthly,49,Cancelled,New
SUB000132,CUST00119,Growth,2024-05-05,Monthly,199,Active,New
SUB000133,CUST00120,Starter,2024-04-23,Monthly,49,Cancelled,New
SUB000134,CUST00121,Starter,2024-04-29,Annual,41.65,Active,New
SUB000135,CUST00121,Growth,2024-12-29,Monthly,169.15,Active,Upgrade
SUB000136,CUST00122,Starter,2024-11-03,Monthly,49,Cancelled,New
SUB000137,CUST00123,Growth,2025-05-11,Monthly,199,Active,New
SUB000138,CUST00124,Enterprise,2024-08-17,Monthly,764.15,Cancelled,New
SUB000139,CUST00125,Growth,2024-11-09,Annual,199,Active,New
SUB000140,CUST00126,Growth,2025-07-22,Monthly,179.1,Active,New
SUB000141,CUST00127,Growth,2025-02-24,Monthly,179.1,Active,New
SUB000142,CUST00128,Growth,2024-07-13,Annual,189.05,Active,New
SUB000143,CUST00128,Starter,2025-07-13,Monthly,46.55,Active,Downgrade
SUB000144,CUST00129,Starter,2024-06-09,Monthly,49,Active,New
SUB000145,CUST00130,Enterprise,2025-06-12,Annual,719.2,Active,New
SUB000146,CUST00131,Growth,2025-04-15,Annual,189.05,Active,New
SUB000147,CUST00132,Growth,2024-11-02,Monthly,199,Cancelled,New
SUB000148,CUST00133,Growth,2025-04-28,Monthly,169.15,Active,New
SUB000149,CUST00134,Growth,2024-04-08,Annual,199,Cancelled,New
SUB000150,CUST00135,Starter,2023-12-05,Annual,46.55,Active,New
SUB000151,CUST00136,Enterprise,2024-12-01,Annual,764.15,Active,New
SUB000152,CUST00137,Growth,2024-04-22,Monthly,179.1,Active,New
SUB000153,CUST00138,Enterprise,2024-08-20,Monthly,899,Active,New
SUB000154,CUST00139,Starter,2025-02-21,Annual,49,Active,New
SUB000155,CUST00140,Enterprise,2025-04-12,Monthly,854.05,Active,New
SUB000156,CUST00141,Starter,2024-10-11,Annual,49,Active,New
SUB000157,CUST00141,Growth,2025-11-11,Annual,199,Active,Upgrade
SUB000158,CUST00142,Enterprise,2025-08-25,Monthly,809.1,Active,New
SUB000159,CUST00143,Growth,2025-01-26,Monthly,189.05,Active,New
SUB000160,CUST00144,Enterprise,2025-11-13,Monthly,899,Active,New
SUB000161,CUST00145,Growth,2023-11-07,Monthly,199,Cancelled,New
SUB000162,CUST00146,Growth,2025-08-17,Monthly,199,Active,New
SUB000163,CUST00147,Starter,2025-06-03,Monthly,49,Active,New
SUB000164,CUST00148,Enterprise,2025-08-29,Monthly,809.1,Active,New
SUB000165,CUST00149,Starter,2025-07-22,Annual,49,Active,New
SUB000166,CUST00150,Enterprise,2025-03-18,Monthly,809.1,Active,New
SUB000167,CUST00151,Growth,2025-05-11,Monthly,179.1,Active,New
SUB000168,CUST00152,Growth,2025-03-11,Monthly,169.15,Cancelled,New
SUB000169,CUST00153,Starter,2024-07-19,Annual,46.55,Active,New
SUB000170,CUST00154,Starter,2025-09-30,Monthly,49,Active,New
SUB000171,CUST00155,Starter,2024-02-22,Monthly,49,Cancelled,New
SUB000172,CUST00156,Starter,2025-07-07,Monthly,49,Active,New
SUB000173,CUST00156,Growth,2025-11-07,Monthly,199,Active,Upgrade
SUB000174,CUST00157,Enterprise,2024-07-22,Monthly,899,Active,New
SUB000175,CUST00158,Enterprise,2024-12-03,Monthly,764.15,Active,New
SUB000176,CUST00159,Starter,2025-02-20,Monthly,44.1,Active,New
SUB000177,CUST00159,Growth,2025-08-20,Monthly,179.1,Active,Upgrade
SUB000178,CUST00160,Growth,2025-04-01,Annual,199,Active,New
SUB000179,CUST00161,Growth,2025-04-08,Monthly,189.05,Active,New
SUB000180,CUST00161,Enterprise,2025-08-08,Monthly,854.05,Active,Upgrade
SUB000181,CUST00162,Growth,2025-10-25,Annual,189.05,Active,New
SUB000182,CUST00163,Enterprise,2024-02-18,Annual,809.1,Active,New
SUB000183,CUST00164,Starter,2024-12-02,Annual,49,Active,New
SUB000184,CUST00165,Growth,2024-10-08,Monthly,199,Active,New
SUB000185,CUST00166,Enterprise,2024-10-20,Monthly,899,Active,New
SUB000186,CUST00167,Starter,2024-03-12,Monthly,44.1,Cancelled,New
SUB000187,CUST00168,Growth,2024-11-02,Monthly,179.1,Active,New
SUB000188,CUST00169,Starter,2024-05-01,Monthly,39.2,Active,New
SUB000189,CUST00170,Starter,2025-11-29,Monthly,41.65,Cancelled,New
SUB000190,CUST00171,Growth,2024-06-07,Monthly,159.2,Active,New
SUB000191,CUST00171,Enterprise,2025-11-07,Annual,719.2,Active,Upgrade
SUB000192,CUST00172,Starter,2025-01-27,Annual,49,Cancelled,New
SUB000193,CUST00173,Growth,2025-03-05,Monthly,179.1,Active,New
SUB000194,CUST00174,Growth,2024-05-05,Monthly,179.1,Active,New
SUB000195,CUST00174,Enterprise,2025-01-05,Monthly,809.1,Active,Upgrade
SUB000196,CUST00175,Growth,2025-05-21,Annual,199,Active,New
SUB000197,CUST00176,Growth,2025-05-31,Monthly,199,Active,New
SUB000198,CUST00177,Starter,2023-06-28,Monthly,44.1,Active,New
SUB000199,CUST00178,Starter,2024-07-08,Monthly,49,Active,New
SUB000200,CUST00179,Growth,2025-09-05,Annual,169.15,Cancelled,New
SUB000201,CUST00180,Growth,2025-10-10,Annual,199,Active,New
SUB000202,CUST00181,Starter,2024-05-05,Monthly,41.65,Active,New
SUB000203,CUST00182,Growth,2024-10-15,Monthly,199,Cancelled,New
SUB000204,CUST00183,Growth,2025-05-09,Monthly,199,Cancelled,New
SUB000205,CUST00184,Growth,2025-11-05,Monthly,149.25,Active,New
SUB000206,CUST00185,Enterprise,2025-10-09,Monthly,899,Active,New
SUB000207,CUST00186,Growth,2025-03-16,Annual,179.1,Active,New
SUB000208,CUST00187,Starter,2025-11-23,Monthly,46.55,Active,New
SUB000209,CUST00188,Starter,2025-10-19,Annual,49,Active,New
SUB000210,CUST00189,Starter,2025-05-26,Monthly,49,Active,New
SUB000211,CUST00190,Starter,2025-10-12,Monthly,49,Active,New
SUB000212,CUST00191,Enterprise,2024-04-27,Monthly,674.25,Active,New
SUB000213,CUST00192,Growth,2023-09-23,Monthly,189.05,Active,New
SUB000214,CUST00193,Growth,2024-07-16,Monthly,199,Active,New
SUB000215,CUST00194,Growth,2024-09-05,Monthly,199,Active,New
SUB000216,CUST00195,Enterprise,2025-07-13,Monthly,899,Active,New
SUB000217,CUST00196,Starter,2023-10-04,Monthly,49,Active,New
SUB000218,CUST00197,Enterprise,2024-01-20,Monthly,854.05,Active,New
SUB000219,CUST00198,Starter,2024-12-30,Monthly,49,Cancelled,New
SUB000220,CUST00199,Growth,2024-08-12,Monthly,189.05,Active,New
SUB000221,CUST00200,Enterprise,2024-03-07,Monthly,764.15,Active,New
SUB000222,CUST00201,Growth,2025-09-28,Monthly,169.15,Active,New
SUB000223,CUST00202,Starter,2025-09-15,Monthly,44.1,Active,New
SUB000224,CUST00203,Growth,2025-11-03,Monthly,199,Active,New
SUB000225,CUST00204,Starter,2025-04-03,Annual,36.75,Active,New
SUB000226,CUST00205,Starter,2025-10-24,Annual,41.65,Active,New
SUB000227,CUST00206,Enterprise,2025-09-13,Monthly,764.15,Cancelled,New
SUB000228,CUST00207,Growth,2024-06-30,Monthly,199,Active,New
SUB000229,CUST00208,Growth,2025-07-09,Annual,189.05,Active,New
SUB000230,CUST00209,Growth,2024-09-25,Monthly,199,Active,New
SUB000231,CUST00209,Enterprise,2024-12-25,Annual,899,Active,Upgrade
SUB000232,CUST00210,Growth,2023-07-16,Annual,169.15,Active,New
SUB000233,CUST00211,Enterprise,2025-10-31,Monthly,719.2,Active,New
SUB000234,CUST00212,Growth,2024-12-04,Monthly,169.15,Active,New
SUB000235,CUST00213,Enterprise,2025-08-02,Annual,899,Active,New
SUB000236,CUST00214,Growth,2024-01-27,Monthly,199,Active,New
SUB000237,CUST00214,Starter,2024-08-27,Monthly,49,Active,Downgrade
SUB000238,CUST00215,Starter,2023-09-10,Annual,46.55,Active,New
SUB000239,CUST00216,Starter,2025-06-12,Monthly,44.1,Active,New
SUB000240,CUST00217,Growth,2024-12-17,Monthly,159.2,Active,New
SUB000241,CUST00218,Starter,2024-04-17,Monthly,41.65,Cancelled,New
SUB000242,CUST00219,Enterprise,2025-04-29,Monthly,809.1,Active,New
SUB000243,CUST00220,Starter,2024-05-11,Monthly,49,Cancelled,New
SUB000244,CUST00221,Growth,2025-10-03,Monthly,159.2,Active,New
SUB000245,CUST00222,Starter,2025-07-28,Monthly,46.55,Active,New
SUB000246,CUST00223,Growth,2024-06-23,Monthly,189.05,Active,New
SUB000247,CUST00224,Growth,2025-09-30,Monthly,169.15,Cancelled,New
SUB000248,CUST00225,Enterprise,2025-09-22,Monthly,764.15,Active,New
SUB000249,CUST00226,Enterprise,2024-12-09,Annual,764.15,Active,New
SUB000250,CUST00227,Starter,2023-12-06,Monthly,46.55,Active,New
SUB000251,CUST00228,Growth,2025-02-12,Monthly,189.05,Active,New
SUB000252,CUST00229,Growth,2025-06-11,Annual,199,Active,New
SUB000253,CUST00230,Enterprise,2025-05-30,Monthly,809.1,Cancelled,New
SUB000254,CUST00231,Starter,2025-06-23,Monthly,44.1,Cancelled,New
SUB000255,CUST00232,Enterprise,2025-10-02,Monthly,899,Active,New
SUB000256,CUST00233,Growth,2024-10-09,Monthly,179.1,Active,New
SUB000257,CUST00234,Growth,2025-02-21,Annual,199,Cancelled,New
SUB000258,CUST00235,Growth,2025-05-14,Monthly,199,Cancelled,New
SUB000259,CUST00236,Starter,2024-01-21,Monthly,41.65,Active,New
SUB000260,CUST00237,Enterprise,2025-05-14,Monthly,674.25,Active,New
SUB000261,CUST00238,Starter,2023-11-10,Monthly,49,Active,New
SUB000262,CUST00238,Growth,2025-10-10,Monthly,199,Active,Upgrade
SUB000263,CUST00239,Growth,2024-10-19,Monthly,199,Active,New
SUB000264,CUST00240,Starter,2025-11-15,Annual,49,Active,New
SUB000265,CUST00241,Growth,2023-07-08,Monthly,189.05,Cancelled,New
SUB000266,CUST00242,Growth,2025-01-07,Monthly,199,Active,New
SUB000267,CUST00243,Starter,2024-04-12,Monthly,39.2,Active,New
SUB000268,CUST00244,Growth,2025-06-13,Annual,199,Cancelled,New
SUB000269,CUST00245,Enterprise,2024-12-28,Monthly,719.2,Active,New
SUB000270,CUST00246,Enterprise,2024-08-14,Monthly,719.2,Active,New
SUB000271,CUST00246,Growth,2025-08-14,Monthly,159.2,Active,Downgrade
SUB000272,CUST00247,Enterprise,2024-06-11,Annual,899,Active,New
SUB000273,CUST00248,Starter,2025-01-27,Annual,39.2,Cancelled,New
SUB000274,CUST00249,Growth,2025-08-04,Annual,149.25,Active,New
SUB000275,CUST00250,Starter,2023-08-13,Monthly,39.2,Cancelled,New
SUB000276,CUST00251,Starter,2024-02-07,Monthly,49,Cancelled,New
SUB000277,CUST00252,Starter,2025-02-10,Annual,46.55,Cancelled,New
SUB000278,CUST00253,Starter,2024-09-17,Monthly,49,Active,New
SUB000279,CUST00254,Growth,2025-02-01,Monthly,199,Active,New
SUB000280,CUST00255,Growth,2025-08-09,Monthly,169.15,Active,New
SUB000281,CUST00255,Enterprise,2025-11-09,Monthly,764.15,Active,Upgrade
SUB000282,CUST00256,Starter,2025-11-24,Monthly,49,Active,New
SUB000283,CUST00257,Growth,2025-03-29,Annual,179.1,Active,New
SUB000284,CUST00258,Starter,2024-10-23,Monthly,49,Active,New
SUB000285,CUST00259,Growth,2025-04-03,Monthly,199,Active,New
SUB000286,CUST00260,Starter,2024-01-17,Monthly,41.65,Active,New
SUB000287,CUST00260,Growth,2025-04-17,Annual,169.15,Active,Upgrade
SUB000288,CUST00261,Starter,2023-10-05,Monthly,46.55,Active,New
SUB000289,CUST00262,Enterprise,2025-08-21,Monthly,809.1,Active,New
SUB000290,CUST00263,Growth,2025-03-20,Monthly,169.15,Active,New
SUB000291,CUST00263,Starter,2025-07-20,Annual,41.65,Active,Downgrade
SUB000292,CUST00264,Growth,2025-07-12,Annual,189.05,Active,New
SUB000293,CUST00264,Enterprise,2025-10-12,Monthly,854.05,Active,Upgrade
SUB000294,CUST00265,Starter,2025-09-27,Annual,49,Cancelled,New
SUB000295,CUST00266,Growth,2025-08-14,Monthly,199,Active,New
SUB000296,CUST00267,Enterprise,2024-06-28,Monthly,899,Cancelled,New
SUB000297,CUST00268,Growth,2025-06-12,Annual,169.15,Cancelled,New
SUB000298,CUST00269,Growth,2025-09-25,Monthly,169.15,Cancelled,New
SUB000299,CUST00270,Starter,2024-11-09,Monthly,39.2,Cancelled,New
SUB000300,CUST00271,Enterprise,2025-01-02,Monthly,899,Active,New
SUB000301,CUST00272,Enterprise,2024-12-20,Monthly,809.1,Active,New
SUB000302,CUST00273,Enterprise,2025-05-08,Monthly,899,Active,New
SUB000303,CUST00274,Starter,2025-10-16,Monthly,49,Cancelled,New
SUB000304,CUST00275,Enterprise,2025-09-18,Monthly,899,Active,New
SUB000305,CUST00276,Enterprise,2025-02-26,Monthly,899,Active,New
SUB000306,CUST00277,Starter,2025-11-16,Monthly,46.55,Active,New
SUB000307,CUST00278,Starter,2024-02-27,Monthly,49,Active,New
SUB000308,CUST00278,Growth,2025-09-27,Annual,199,Active,Upgrade
SUB000309,CUST00279,Starter,2024-04-20,Monthly,49,Cancelled,New
SUB000310,CUST00280,Enterprise,2024-07-19,Monthly,899,Active,New
SUB000311,CUST00281,Growth,2023-08-26,Monthly,169.15,Cancelled,New
SUB000312,CUST00282,Starter,2025-08-23,Monthly,44.1,Cancelled,New
SUB000313,CUST00283,Growth,2024-08-10,Monthly,169.15,Active,New
SUB000314,CUST00284,Growth,2024-02-14,Monthly,189.05,Active,New
SUB000315,CUST00284,Enterprise,2024-07-14,Monthly,854.05,Active,Upgrade
SUB000316,CUST00285,Growth,2023-09-08,Monthly,189.05,Active,New
SUB000317,CUST00286,Enterprise,2025-11-07,Monthly,899,Active,New
SUB000318,CUST00287,Starter,2025-02-08,Monthly,49,Active,New
SUB000319,CUST00287,Growth,2025-10-08,Annual,199,Active,Upgrade
SUB000320,CUST00288,Starter,2025-06-27,Monthly,41.65,Active,New
SUB000321,CUST00289,Enterprise,2025-06-08,Monthly,854.05,Active,New
SUB000322,CUST00290,Starter,2025-09-09,Monthly,44.1,Cancelled,New
SUB000323,CUST00291,Growth,2025-09-26,Monthly,199,Active,New
SUB000324,CUST00292,Growth,2025-06-10,Monthly,189.05,Active,New
SUB000325,CUST00293,Starter,2024-01-20,Monthly,46.55,Active,New
SUB000326,CUST00294,Starter,2024-12-08,Monthly,44.1,Active,New
SUB000327,CUST00295,Growth,2025-10-01,Monthly,189.05,Active,New
SUB000328,CUST00296,Growth,2025-07-30,Monthly,169.15,Active,New
SUB000329,CUST00297,Growth,2025-03-18,Annual,199,Active,New
SUB000330,CUST00298,Starter,2025-06-21,Monthly,41.65,Cancelled,New
SUB000331,CUST00299,Growth,2024-06-27,Annual,199,Cancelled,New
SUB000332,CUST00300,Enterprise,2025-01-20,Annual,899,Active,New
SUB000333,CUST00301,Starter,2023-07-21,Monthly,41.65,Cancelled,New
SUB000334,CUST00302,Growth,2025-03-11,Monthly,189.05,Active,New
SUB000335,CUST00303,Growth,2025-11-09,Monthly,189.05,Active,New
SUB000336,CUST00304,Starter,2025-10-11,Monthly,41.65,Active,New
SUB000337,CUST00305,Starter,2024-10-24,Monthly,41.65,Active,New
SUB000338,CUST00306,Starter,2024-09-14,Monthly,44.1,Active,New
SUB000339,CUST00307,Starter,2025-07-04,Monthly,46.55,Cancelled,New
SUB000340,CUST00308,Starter,2025-06-13,Monthly,49,Cancelled,New
SUB000341,CUST00309,Growth,2025-04-03,Monthly,189.05,Cancelled,New
SUB000342,CUST00310,Starter,2025-03-22,Monthly,44.1,Active,New
SUB000343,CUST00311,Enterprise,2025-08-30,Monthly,719.2,Active,New
SUB000344,CUST00312,Starter,2024-12-11,Monthly,41.65,Active,New
SUB000345,CUST00312,Growth,2025-10-11,Monthly,169.15,Active,Upgrade
SUB000346,CUST00313,Starter,2025-08-09,Monthly,49,Active,New
SUB000347,CUST00313,Growth,2025-11-09,Monthly,199,Active,Upgrade
SUB000348,CUST00314,Starter,2024-01-02,Annual,49,Active,New
SUB000349,CUST00315,Growth,2025-07-15,Annual,159.2,Cancelled,New
SUB000350,CUST00316,Growth,2025-05-20,Monthly,179.1,Active,New
SUB000351,CUST00317,Growth,2025-04-20,Annual,199,Active,New
SUB000352,CUST00317,Enterprise,2025-07-20,Annual,899,Active,Upgrade
SUB000353,CUST00318,Starter,2024-12-06,Monthly,44.1,Cancelled,New
SUB000354,CUST00319,Starter,2024-02-23,Annual,49,Active,New
SUB000355,CUST00320,Growth,2023-12-03,Monthly,189.05,Cancelled,New
SUB000356,CUST00321,Starter,2024-06-26,Monthly,46.55,Active,New
SUB000357,CUST00322,Starter,2025-08-20,Annual,49,Active,New
SUB000358,CUST00323,Enterprise,2025-03-11,Monthly,809.1,Active,New
SUB000359,CUST00324,Enterprise,2025-06-01,Annual,899,Active,New
SUB000360,CUST00325,Starter,2025-03-30,Monthly,41.65,Active,New
SUB000361,CUST00326,Growth,2025-03-13,Annual,189.05,Active,New
SUB000362,CUST00327,Enterprise,2025-06-03,Monthly,899,Active,New
SUB000363,CUST00328,Starter,2024-03-28,Annual,41.65,Cancelled,New
SUB000364,CUST00329,Growth,2025-03-02,Annual,199,Active,New
SUB000365,CUST00330,Enterprise,2025-09-03,Annual,764.15,Active,New
SUB000366,CUST00331,Starter,2024-08-03,Monthly,49,Cancelled,New
SUB000367,CUST00332,Enterprise,2024-09-13,Monthly,899,Active,New
SUB000368,CUST00333,Enterprise,2025-10-22,Monthly,899,Active,New
SUB000369,CUST00334,Enterprise,2025-10-27,Monthly,854.05,Active,New
SUB000370,CUST00335,Growth,2025-09-25,Annual,169.15,Active,New
SUB000371,CUST00336,Starter,2024-12-05,Monthly,49,Active,New
SUB000372,CUST00337,Starter,2025-05-20,Monthly,39.2,Cancelled,New
SUB000373,CUST00338,Enterprise,2025-02-06,Monthly,899,Active,New
